######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
apnic|PH|ipv6|2001:df0:298::|48|20120213
apnic|IN|ipv6|2001:df0:299::|48|20120214
apnic|AU|ipv6|2001:df0:29a::|48|20120215
apnic|ID|ipv6|2001:df0:29b::|48|20120217
apnic|VN|ipv6|2001:df0:29c::|48|20120221
apnic|AU|ipv6|2001:df0:29d::|48|20120227
apnic|BD|ipv6|2001:df0:29f::|48|20120228
apnic|MY|ipv6|2001:df0:2a0::|48|20120301
apnic|AU|ipv6|2001:df0:2a1::|48|20120302
apnic|HK|ipv6|2001:df0:2a2::|48|20120302
apnic|IN|ipv6|2001:df0:2a3::|48|20120302
apnic|ID|ipv6|2001:df0:2a4::|48|20120302
apnic|SG|ipv6|2001:df0:2a5::|48|20120313
apnic|JP|ipv6|2001:df0:2a6::|48|20120320
apnic|ID|ipv6|2001:df0:2a7::|48|20120321
apnic|PH|ipv6|2001:df0:2a8::|48|20120321
apnic|AU|ipv6|2001:df0:2a9::|48|20120329
apnic|AU|ipv6|2001:df0:2aa::|48|20120404
apnic|ID|ipv6|2001:df0:2ab::|48|20120416
apnic|SG|ipv6|2001:df0:2ac::|48|20120419
apnic|AU|ipv6|2001:df0:2ad::|48|20120420
apnic|WS|ipv6|2001:df0:2ae::|48|20120424
apnic|HK|ipv6|2001:df0:2af::|48|20120426
apnic|AU|ipv6|2001:df0:2b0::|48|20120430
apnic|AU|ipv6|2001:df0:2b1::|48|20120501
apnic|ID|ipv6|2001:df0:2b2::|48|20120501
apnic|AU|ipv6|2001:df0:2b3::|48|20120502
apnic|JP|ipv6|2001:df0:2b4::|48|20120509
apnic|ID|ipv6|2001:df0:2b5::|48|20120514
apnic|IN|ipv6|2001:df0:2b6::|48|20120515
apnic|AU|ipv6|2001:df0:2b7::|48|20120516
apnic|MY|ipv6|2001:df0:2b8::|48|20120516
